Longitude Latitude Value
61.862228 24.137950 0.585531
61.891799 24.137950 0.587974
61.921370 24.137950 0.589361
61.950942 24.137950 0.590699
61.980513 24.137950 0.591516
62.010084 24.137950 0.592327
59.969669 24.144093 0.435130
59.999241 24.144093 0.436244
60.028812 24.144093 0.437499
60.058383 24.144093 0.438492
60.087954 24.144093 0.439354
60.117526 24.144093 0.440995
60.147097 24.144093 0.443571
60.176668 24.144093 0.446320
60.206239 24.144093 0.449622
60.235810 24.144093 0.452824
60.265382 24.144093 0.456157
60.294953 24.144093 0.459430
60.324524 24.144093 0.463078
60.354095 24.144093 0.467300
60.383667 24.144093 0.469020
60.413238 24.144093 0.470705
60.442809 24.144093 0.471917
60.472380 24.144093 0.473323
60.501951 24.144093 0.474881
60.531523 24.144093 0.476882
60.561094 24.144093 0.479514
60.590665 24.144093 0.481136
60.620236 24.144093 0.483303
60.649808 24.144093 0.486298
60.679379 24.144093 0.488959
60.708950 24.144093 0.491988
60.738521 24.144093 0.494870
60.768093 24.144093 0.497633
60.797664 24.144093 0.500287
60.827235 24.144093 0.502382
60.856806 24.144093 0.503635
60.886377 24.144093 0.506363
60.915949 24.144093 0.508429
60.945520 24.144093 0.510319
60.975091 24.144093 0.511653
61.004662 24.144093 0.514024
61.034234 24.144093 0.516635
61.063805 24.144093 0.520111
61.093376 24.144093 0.524483
61.122947 24.144093 0.527293
61.152518 24.144093 0.528343
61.182090 24.144093 0.529434
61.211661 24.144093 0.530549
61.241232 24.144093 0.532502
61.270803 24.144093 0.533942
61.300375 24.144093 0.535728
61.329946 24.144093 0.537639
61.359517 24.144093 0.539427
61.389088 24.144093 0.542603
61.418660 24.144093 0.544798
61.448231 24.144093 0.547489
61.477802 24.144093 0.549546
61.507373 24.144093 0.551809
61.536944 24.144093 0.554197
61.566516 24.144093 0.556703
61.596087 24.144093 0.559095
61.625658 24.144093 0.561793
61.655229 24.144093 0.564087
61.684801 24.144093 0.566627
61.714372 24.144093 0.569024
61.743943 24.144093 0.571364
61.773514 24.144093 0.574831
61.803085 24.144093 0.577685
61.832657 24.144093 0.580537
61.862228 24.144093 0.583884
61.891799 24.144093 0.586566
61.921370 24.144093 0.587953
61.950942 24.144093 0.589225
61.980513 24.144093 0.589736
62.010084 24.144093 0.590968
62.039655 24.144093 0.592182
62.069227 24.144093 0.592698
62.098798 24.144093 0.592938
59.940098 24.150237 0.432833
59.969669 24.150237 0.434428
59.999241 24.150237 0.435584
60.028812 24.150237 0.436678
60.058383 24.150237 0.437705
60.087954 24.150237 0.438532
60.117526 24.150237 0.440296
60.147097 24.150237 0.442802
60.176668 24.150237 0.445565
60.206239 24.150237 0.448720
60.235810 24.150237 0.451949
60.265382 24.150237 0.455008
60.294953 24.150237 0.458478
60.324524 24.150237 0.462078
60.354095 24.150237 0.465674
60.383667 24.150237 0.467701
60.413238 24.150237 0.469486
60.442809 24.150237 0.470678
60.472380 24.150237 0.472050
60.501951 24.150237 0.473627
60.531523 24.150237 0.475722
60.561094 24.150237 0.478220
60.590665 24.150237 0.479883
60.620236 24.150237 0.481988
60.649808 24.150237 0.484908
60.679379 24.150237 0.487616
60.708950 24.150237 0.490529
60.738521 24.150237 0.493453
60.768093 24.150237 0.496063
60.797664 24.150237 0.498776
60.827235 24.150237 0.500954
60.856806 24.150237 0.502530
60.886377 24.150237 0.505026
60.915949 24.150237 0.507073
60.945520 24.150237 0.508868
60.975091 24.150237 0.510059
61.004662 24.150237 0.512311
61.034234 24.150237 0.514901
61.063805 24.150237 0.518760
61.093376 24.150237 0.523234
61.122947 24.150237 0.525531
61.152518 24.150237 0.526718
61.182090 24.150237 0.527782
61.211661 24.150237 0.529086
61.241232 24.150237 0.530855
61.270803 24.150237 0.532361
61.300375 24.150237 0.534048
61.329946 24.150237 0.535956
61.359517 24.150237 0.537906
61.389088 24.150237 0.540955
61.418660 24.150237 0.543175
61.448231 24.150237 0.545545
61.477802 24.150237 0.547633
61.507373 24.150237 0.550321
61.536944 24.150237 0.552854
61.566516 24.150237 0.555180
61.596087 24.150237 0.557434
61.625658 24.150237 0.560176
61.655229 24.150237 0.562533
61.684801 24.150237 0.565132
61.714372 24.150237 0.567458
61.743943 24.150237 0.569837
61.773514 24.150237 0.573437
61.803085 24.150237 0.576245
